protein,go_term
P00734,GO:0048018
P00734,GO:0048712
P00734,GO:0051281
P00734,GO:0051480
P00734,GO:0051838
P00734,GO:0051918
P00734,GO:0061844
P00734,GO:0070053
P00734,GO:0070062
P00734,GO:0070493
P00734,GO:0070945
P00734,GO:0072562
P00734,GO:1900016
P00734,GO:1900182
P00734,GO:1900738
P00734,GO:2000379
P00797,GO:0001822
P00797,GO:0001823
P00797,GO:0002003
P00797,GO:0004190
P00797,GO:0005102
P00797,GO:0005159
P00797,GO:0005576
P00797,GO:0005615
P00797,GO:0005886
P00797,GO:0006508
P00797,GO:0008217
P00797,GO:0008233
P00797,GO:0008584
P00797,GO:0032496
P00797,GO:0035902
P00797,GO:0043408
P00797,GO:0045177
P00797,GO:0051591
P00797,GO:0070305
P00797,GO:0071466
P00797,GO:0072051
P01106,GO:0000082
P01106,GO:0000122
P01106,GO:0000165
P01106,GO:0000785
P01106,GO:0000791
P01106,GO:0000978
P01106,GO:0000981
P01106,GO:0001046
P01106,GO:0001221
P01106,GO:0001227
P01106,GO:0001228
P01106,GO:0001658
P01106,GO:0001866
P01106,GO:0002053
P01106,GO:0003677
P01106,GO:0005634
P01106,GO:0005654
P01106,GO:0005730
P01106,GO:0005819
P01106,GO:0006338
P01106,GO:0006351
P01106,GO:0006357
P01106,GO:0006879
P01106,GO:0006974
P01106,GO:0008284
P01106,GO:0009410
P01106,GO:0010468
P01106,GO:0010564
P01106,GO:0010628
P01106,GO:0016072
P01106,GO:0016604
P01106,GO:0030424
P01106,GO:0031625
P01106,GO:0032204
P01106,GO:0032206
P01106,GO:0032873
P01106,GO:0032986
P01106,GO:0032991
P01106,GO:0034644
P01106,GO:0042802
P01106,GO:0043066
P01106,GO:0044027
P01106,GO:0044346
P01106,GO:0044877
P01106,GO:0045656
P01106,GO:0045893
P01106,GO:0045944
P01106,GO:0046983
P01106,GO:0048146
P01106,GO:0048147
P01106,GO:0048471
P01106,GO:0050679
P01106,GO:0051276
P01106,GO:0051782
P01106,GO:0060261
P01106,GO:0060633
P01106,GO:0070371
P01106,GO:0070848
P01106,GO:0070888
P01106,GO:0071456
P01106,GO:0071466
P01106,GO:0090096
P01106,GO:0140297
P01106,GO:0140537
P01106,GO:1902255
P01106,GO:1902895
P01106,GO:1904672
P01106,GO:1905761
P01137,GO:0001570
P01137,GO:0001657
P01137,GO:0001763
P01137,GO:0001837
P01137,GO:0001843
P01137,GO:0002040
P01137,GO:0002062
P01137,GO:0002244
P01137,GO:0002248
P01137,GO:0002460
P01137,GO:0002859
P01137,GO:0003179
P01137,GO:0003180
P01137,GO:0005114
P01137,GO:0005125
P01137,GO:0005576
P01137,GO:0005615
P01137,GO:0005634
P01137,GO:0005737
P01137,GO:0005796
P01137,GO:0005886
P01137,GO:0006611
P01137,GO:0006754
P01137,GO:0006796
P01137,GO:0007179
P01137,GO:0007406
P01137,GO:0007435
P01137,GO:0007507
P01137,GO:0007565
P01137,GO:0008083
P01137,GO:0008284
P01137,GO:0008285
P01137,GO:0009410
P01137,GO:0009611
P01137,GO:0009986
P01137,GO:0010332
P01137,GO:0010575
P01137,GO:0010628
P01137,GO:0010629
P01137,GO:0010716
P01137,GO:0010718
P01137,GO:0010742
P01137,GO:0010763
P01137,GO:0010936
P01137,GO:0014003
P01137,GO:0014008
P01137,GO:0016202
P01137,GO:0019899
P01137,GO:0021915
P01137,GO:0030154
P01137,GO:0030214
P01137,GO:0030308
P01137,GO:0030334
P01137,GO:0030335
P01137,GO:0030424
P01137,GO:0031012
P01137,GO:0031093
P01137,GO:0031293
P01137,GO:0031334
P01137,GO:0031536
P01137,GO:0032355
P01137,GO:0032570
P01137,GO:0032667
P01137,GO:0032700
P01137,GO:0032740
P01137,GO:0032755
P01137,GO:0032760
P01137,GO:0032801
P01137,GO:0032930
P01137,GO:0032967
P01137,GO:0033280
P01137,GO:0034616
P01137,GO:0034713
P01137,GO:0034714
P01137,GO:0035902
P01137,GO:0036120
P01137,GO:0036446
P01137,GO:0042127
P01137,GO:0042306
P01137,GO:0042307
P01137,GO:0042475
P01137,GO:0042552
P01137,GO:0042802
P01137,GO:0043025
P01137,GO:0043117
